Greedy,Astar,BFS,DFS,,,,,,
157,439,1459,245,,Algorithm,Greedy,Astar,BFS,DFS
245,803,1495,344,,Max,1137,1440,2013,1729
456,790,1423,308,,Min,45,135,705,45
135,451,1679,189,,Average,181.27,723.68,1591.62,731.79
159,773,1612,383,,,,,,
151,618,1696,171,,,,,,
211,707,1637,210,,,,,,
368,226,1526,358,,,,,,
272,1302,1506,247,,,,,,
163,603,1757,128,,,,,,
171,406,1727,371,,,,,,
121,417,1723,175,,,,,,
112,439,1807,222,,,,,,
134,486,1747,305,,,,,,
217,916,1576,202,,,,,,
220,501,1563,234,,,,,,
126,392,1778,116,,,,,,
115,359,1744,153,,,,,,
167,421,1657,283,,,,,,
132,935,1896,139,,,,,,
293,896,1652,184,,,,,,
152,567,1606,203,,,,,,
115,972,1844,130,,,,,,
127,785,1858,154,,,,,,
247,792,1600,293,,,,,,
138,857,1886,138,,,,,,
111,1042,1945,127,,,,,,
261,1304,1617,793,,,,,,
111,1134,1943,126,,,,,,
113,523,1856,137,,,,,,
127,535,1850,129,,,,,,
138,808,1674,134,,,,,,
285,757,1403,713,,,,,,
131,1102,1866,227,,,,,,
110,687,1818,229,,,,,,
126,946,1842,321,,,,,,
123,1144,1977,125,,,,,,
120,827,1899,122,,,,,,
117,1289,1916,116,,,,,,
110,563,1788,689,,,,,,
379,1245,1500,1151,,,,,,
210,1440,1545,905,,,,,,
288,977,1609,1128,,,,,,
422,1190,1455,1291,,,,,,
185,1047,1529,1250,,,,,,
268,692,1621,1100,,,,,,
171,327,1704,1273,,,,,,
432,615,745,1113,,,,,,
196,1433,1596,1125,,,,,,
258,948,1415,1259,,,,,,
155,607,1728,1234,,,,,,
129,425,1797,1196,,,,,,
270,1179,1517,1089,,,,,,
116,702,1822,1329,,,,,,
272,441,1764,1205,,,,,,
178,1013,1610,1346,,,,,,
117,834,1889,1129,,,,,,
117,954,1869,1218,,,,,,
192,457,1597,1140,,,,,,
161,837,1630,862,,,,,,
130,1147,1731,1076,,,,,,
115,1044,1938,1321,,,,,,
272,977,1228,1305,,,,,,
114,1359,1947,1216,,,,,,
108,1003,1942,1049,,,,,,
251,300,1418,1170,,,,,,
174,910,1677,1192,,,,,,
133,881,1665,1048,,,,,,
140,539,1774,1156,,,,,,
164,913,1898,1315,,,,,,
110,1401,2013,1195,,,,,,
121,939,1954,1282,,,,,,
183,496,1658,1368,,,,,,
104,1316,2004,1294,,,,,,
127,1204,1808,1112,,,,,,
144,559,1772,1354,,,,,,
137,550,1732,966,,,,,,
143,426,1632,1252,,,,,,
658,1334,1512,975,,,,,,
127,874,1894,1226,,,,,,
356,223,705,1145,,,,,,
1137,1418,1449,727,,,,,,
59,195,1022,49,,,,,,
54,183,924,45,,,,,,
94,267,1087,1355,,,,,,
226,283,959,793,,,,,,
62,175,1114,1228,,,,,,
70,247,1241,1636,,,,,,
62,282,1070,565,,,,,,
94,359,1402,217,,,,,,
453,1387,1511,323,,,,,,
61,265,1164,74,,,,,,
100,643,1468,1425,,,,,,
89,276,1232,201,,,,,,
93,175,837,1072,,,,,,
50,135,1241,717,,,,,,
55,193,1236,160,,,,,,
51,156,1066,1648,,,,,,
58,263,1327,982,,,,,,
45,194,1120,1729,,,,,,
