Greedy,Astar,BFS,DFS,,,Greedy Optimal,DFS Optimal,,,,,,
131,127,127,217,,,no,no,,,,,,
165,117,117,267,,,no,no,,Algorithm,Greedy,Astar,BFS,DFS
239,147,147,243,,,no,no,,Optimality,7%,100%,100%,3%
121,103,103,171,,,no,no,,,,,,
125,121,121,189,,,no,no,,,,,,
111,101,101,147,,,no,no,,,,,,
121,109,109,181,,,no,no,,,,,,
111,109,109,247,,,no,no,,,,,,
195,153,153,225,,,no,no,,,,,,
131,99,99,121,,,no,no,,,,,,
141,103,103,161,,,no,no,,,,,,
111,105,105,163,,,no,no,,,,,,
103,101,101,113,,,no,no,,,,,,
115,99,99,135,,,no,no,,,,,,
177,129,129,197,,,no,no,,,,,,
161,103,103,147,,,no,no,,,,,,
111,99,99,113,,,no,no,,,,,,
107,99,99,137,,,no,no,,,,,,
117,105,105,153,,,no,no,,,,,,
125,99,99,129,,,no,no,,,,,,
185,105,105,149,,,no,no,,,,,,
117,103,103,187,,,no,no,,,,,,
109,99,99,127,,,no,no,,,,,,
117,99,99,125,,,no,no,,,,,,
143,115,115,215,,,no,no,,,,,,
123,99,99,135,,,no,no,,,,,,
105,99,99,123,,,no,no,,,,,,
181,123,123,197,,,no,no,,,,,,
105,99,99,121,,,no,no,,,,,,
105,99,99,125,,,no,no,,,,,,
103,99,99,121,,,no,no,,,,,,
119,109,109,131,,,no,no,,,,,,
201,197,197,321,,,no,no,,,,,,
117,101,101,131,,,no,no,,,,,,
105,101,101,205,,,no,no,,,,,,
111,99,99,159,,,no,no,,,,,,
111,99,99,117,,,no,no,,,,,,
113,99,99,119,,,no,no,,,,,,
111,99,99,113,,,no,no,,,,,,
107,99,99,129,,,no,no,,,,,,
241,231,231,375,,,no,no,,,,,,
159,149,149,523,,,no,no,,,,,,
213,117,117,485,,,no,no,,,,,,
243,243,243,393,,,yes,no,,,,,,
131,113,113,671,,,no,no,,,,,,
143,107,107,593,,,no,no,,,,,,
125,101,101,747,,,no,no,,,,,,
217,217,217,413,,,yes,no,,,,,,
165,127,127,371,,,no,no,,,,,,
167,135,135,429,,,no,no,,,,,,
123,105,105,723,,,no,no,,,,,,
119,99,99,787,,,no,no,,,,,,
193,155,155,455,,,no,no,,,,,,
111,99,99,747,,,no,no,,,,,,
111,99,99,655,,,no,no,,,,,,
131,121,121,659,,,no,no,,,,,,
109,99,99,871,,,no,no,,,,,,
111,99,99,783,,,no,no,,,,,,
167,107,107,633,,,no,no,,,,,,
121,117,117,577,,,no,no,,,,,,
113,105,105,729,,,no,no,,,,,,
105,99,99,815,,,no,no,,,,,,
203,167,167,675,,,no,no,,,,,,
109,99,99,911,,,no,no,,,,,,
103,99,99,839,,,no,no,,,,,,
117,115,115,669,,,no,no,,,,,,
143,111,111,685,,,no,no,,,,,,
119,107,107,743,,,no,no,,,,,,
127,99,99,787,,,no,no,,,,,,
123,99,99,815,,,no,no,,,,,,
107,99,99,831,,,no,no,,,,,,
107,101,101,869,,,no,no,,,,,,
139,105,105,495,,,no,no,,,,,,
103,99,99,911,,,no,no,,,,,,
107,101,101,615,,,no,no,,,,,,
119,101,101,697,,,no,no,,,,,,
109,101,101,531,,,no,no,,,,,,
125,103,103,545,,,no,no,,,,,,
307,245,245,455,,,no,no,,,,,,
117,99,99,903,,,no,no,,,,,,
217,69,69,561,,,no,no,,,,,,
507,507,507,507,,,yes,yes,,,,,,
49,49,49,49,,,yes,yes,,,,,,
49,45,45,45,,,no,yes,,,,,,
63,53,53,309,,,no,no,,,,,,
123,79,79,241,,,no,no,,,,,,
47,45,45,529,,,no,no,,,,,,
55,49,49,193,,,no,no,,,,,,
51,49,49,387,,,no,no,,,,,,
61,53,53,165,,,no,no,,,,,,
213,181,181,231,,,no,no,,,,,,
53,51,51,69,,,no,no,,,,,,
67,67,67,421,,,yes,no,,,,,,
63,51,51,159,,,no,no,,,,,,
77,49,49,557,,,no,no,,,,,,
43,37,37,521,,,no,no,,,,,,
43,43,43,153,,,yes,no,,,,,,
45,41,41,87,,,no,no,,,,,,
51,47,47,599,,,no,no,,,,,,
41,41,41,43,,,yes,no,,,,,,
,,,,,count,7,3,,,,,,
