Greedy,Astar,BFS,DFS,,,,,,
131,127,127,217,,Algorithm,Greedy,Astar,BFS,DFS
165,117,117,267,,Max,507,507,507,911
239,147,147,243,,Min,41,37,37,43
121,103,103,171,,Average,128.26,108.7,108.7,387.42
125,121,121,189,,,,,,
111,101,101,147,,,,,,
121,109,109,181,,,,,,
111,109,109,247,,,,,,
195,153,153,225,,,,,,
131,99,99,121,,,,,,
141,103,103,161,,,,,,
111,105,105,163,,,,,,
103,101,101,113,,,,,,
115,99,99,135,,,,,,
177,129,129,197,,,,,,
161,103,103,147,,,,,,
111,99,99,113,,,,,,
107,99,99,137,,,,,,
117,105,105,153,,,,,,
125,99,99,129,,,,,,
185,105,105,149,,,,,,
117,103,103,187,,,,,,
109,99,99,127,,,,,,
117,99,99,125,,,,,,
143,115,115,215,,,,,,
123,99,99,135,,,,,,
105,99,99,123,,,,,,
181,123,123,197,,,,,,
105,99,99,121,,,,,,
105,99,99,125,,,,,,
103,99,99,121,,,,,,
119,109,109,131,,,,,,
201,197,197,321,,,,,,
117,101,101,131,,,,,,
105,101,101,205,,,,,,
111,99,99,159,,,,,,
111,99,99,117,,,,,,
113,99,99,119,,,,,,
111,99,99,113,,,,,,
107,99,99,129,,,,,,
241,231,231,375,,,,,,
159,149,149,523,,,,,,
213,117,117,485,,,,,,
243,243,243,393,,,,,,
131,113,113,671,,,,,,
143,107,107,593,,,,,,
125,101,101,747,,,,,,
217,217,217,413,,,,,,
165,127,127,371,,,,,,
167,135,135,429,,,,,,
123,105,105,723,,,,,,
119,99,99,787,,,,,,
193,155,155,455,,,,,,
111,99,99,747,,,,,,
111,99,99,655,,,,,,
131,121,121,659,,,,,,
109,99,99,871,,,,,,
111,99,99,783,,,,,,
167,107,107,633,,,,,,
121,117,117,577,,,,,,
113,105,105,729,,,,,,
105,99,99,815,,,,,,
203,167,167,675,,,,,,
109,99,99,911,,,,,,
103,99,99,839,,,,,,
117,115,115,669,,,,,,
143,111,111,685,,,,,,
119,107,107,743,,,,,,
127,99,99,787,,,,,,
123,99,99,815,,,,,,
107,99,99,831,,,,,,
107,101,101,869,,,,,,
139,105,105,495,,,,,,
103,99,99,911,,,,,,
107,101,101,615,,,,,,
119,101,101,697,,,,,,
109,101,101,531,,,,,,
125,103,103,545,,,,,,
307,245,245,455,,,,,,
117,99,99,903,,,,,,
217,69,69,561,,,,,,
507,507,507,507,,,,,,
49,49,49,49,,,,,,
49,45,45,45,,,,,,
63,53,53,309,,,,,,
123,79,79,241,,,,,,
47,45,45,529,,,,,,
55,49,49,193,,,,,,
51,49,49,387,,,,,,
61,53,53,165,,,,,,
213,181,181,231,,,,,,
53,51,51,69,,,,,,
67,67,67,421,,,,,,
63,51,51,159,,,,,,
77,49,49,557,,,,,,
43,37,37,521,,,,,,
43,43,43,153,,,,,,
45,41,41,87,,,,,,
51,47,47,599,,,,,,
41,41,41,43,,,,,,
